字	廣韻字號	小韻號	IPA	Baxter Sagart gloss (rough meaning only)	廣韻 gloss
𤲑	10652	1332	ʈiɤ̋		說文曰㡒也所[-/載]以盛米也
𤲓	3644	389	ləi		耕外舊場
𤲖	12098	1603	tʰe̋n		上同町町疃鹿迹
𤲙	11774	1533	pwőn		上同畚草器
𤲫	11936	1564	tʰwɑ̋n		上同疃說文曰禽獸所踐處也詩曰町疃鹿場毛萇云町疃鹿迹也亦作畽吐緩切四
𤲬	5434	621	nʑwien		城下田也
𤲬	12413	1647	nʑwie̋n		城下田也
𤲬	18033	2726	nʑwienʱ		城下田人絹切又而兖切一
𤲬	18618	2845	nwɑʱ		城下田又隍池内也
𤲰	24356	3732	mək		⿰甲代𤲰
𤲳	15437	2284	biuiʱ		並上同𥝋獸名說文曰周成王時州靡國獻𥝋人身反踵自𥬇𥬇即上脣掩其目食人北方謂之土螻爾雅曰狒狒如人被髮迅走一名梟羊俗謂之山都今交州南康山中有之郭璞讃云狒狒怪獸披髮握竹獲人則𥬇脣蔽其目終乃號咷反爲我戮扶[涕/沸]切二十四
𤲸	20357	3215	hiuk		上同畜說文云魯郊禮畜从田从兹兹益也養也說文曰田畜也淮南子曰𤣥田爲畜又丑六許救二切
𤳈	7032	809	ɕiɑŋ		上同塲耕[場/塲]
𤳉	17569	2642	hɑnʱ		耕田
𤳐	15553	2299	tɕiɤʱ		畚也
𤳕	20313	3209	jiuk		生田
𤳖	4891	538	pwɑn		部黨北潘切四
𤳤	3175	315	kʰe		小畚
𤳯	15549	2299	tɕiɤʱ		筐𤳯
𤴟	16302	2402	tɕieiʱ		[𤴟/䠠]古人姓
𤴨	19291	3033	ɦiuʱ		上同𩑣說文顫也
𤴯	17625	2649	ɦwɑnʱ		癰疽屬也
𤴰	21663	3381	ŋwot		俗㽾說文曰病也
𤴱	15797	2345	toʱ		乳病
𤴼	25291	3864	kʰiɐp		欠氣
𤵝	13933	1956	məű		踇偶山名
𤵸	712	75	pʰɣɔŋ		上同胮胮脹匹江切又音龐五
𤵺	16323	2404	jieiʱ		病也
𤵼	18849	2897	ɕiɑŋʱ		上同慯憂也
𤵽	16586	2449	hɑiʱ		𤵽病
𤵾	6926	795	ʈʰɣa		𤵾癡皃也
𤶗	11242	1426	ŋɣɛ̋i		𤶗疾
𤶘	21651	3380	hwot		睡多
𤶚	22404	3479	net		疾病
𤶠	6888	787	ɖɣa		瘢𤶠瘡痕
𤶠	6932	796	ʈɣa		瘡痕
𤶡	13791	1931	ʈiű		上同疛說文曰小腹[痛/病]
𤷂	1913	216	biui		風𤷂病也
𤷃	12231	1621	dzie̋n		小痒
𤷄	5566	638	ɡwien		手屈病也
𤷇	23495	3636	hɣwɛk		痛𤷇
𤷇	24245	3716	hwɨk		頭痛
𤷈	21853	3405	nɑt		痛也
𤷈	22141	3441	ɳɣɛt		上同痆瘡痛女黠切三
𤷌	11468	1473	kji̋n		並俗
𤷑	13857	1941	ɡiű		病也
𤷚	20659	3257	ʈiowk		上同瘃寒瘡也陟玉切七
𤷽	22848	3548	kʰiɑk		𤷽食瘡疾
𤷾	24989	3826	kʰjiep		少氣也去涉切一
𤸁	17052	2548	hwiɐiʱ		困極也詩云昆夷𤸁矣本亦作喙
𤸃	19346	3043	ʂiuʱ		𤸃損說文臞也所祐切四
