字	廣韻字號	小韻號	IPA	Baxter Sagart gloss (rough meaning only)	廣韻 gloss
汪	13343	1822	ʔwiɑ̋ŋ		汪陶縣在鴈門又烏光切
汪	19027	2945	ʔwɑŋʱ		水臭也烏浪切二
汫	13698	1904	dze̋ŋ		汫濙小水皃徂醒切一
汭	16200	2387	nʑwieiʱ		水曲說文曰水相入皃
汮	3894	425	kwin		水名
汮	4061	449	kwin		水名出析縣北山入沔今作均
汰	16434	2422	tʰɑiʱ		太過也
汱	12192	1614	kwe̋n		爾雅云墜也又伏水也
汲	24488	3759	kip		汲引也又縣名在衞州又姓漢有中尉汲黯河東人
汳	17393	2601	pʰwiɐnʱ		水在睢陽
汴	18090	2738	bienʱ		水名在陳留亦州名秦屬三川郡漢爲陳留郡留鄭邑爲陳所并遂名之東魏置梁州周改爲汴州
汶	3917	428	min		汶山郡又音問
汶	4112	455	miun		黏唾又音旻問
汶	17269	2581	miunʱ		水名
汸	7112	818	pwiɑŋ		併船也說文本作方或從水
決	22288	3471	hwet		莊子云決起而搶榆枋決小飛皃
決	22311	3473	kwet	open a passage for a stream	流行也廬江有決水出大别山人斷也破也俗作决
汻	13472	1853	hɑ̋ŋ		姓今涇州有之呼朗切三
汾	4147	458	biun		水名在太原本漢兹氏縣地屬西河郡魏於兹氏縣置西河郡今州城是也符分切三十七
沁	19601	3085	tsʰimʱ		水名在上黨亦州名本漢穀逺縣後魏置沁源縣武德初置州因沁水以名之七鴆切四
沂	1983	222	ŋiɨi 	(mountain and river in Shandong)	水名出泰山魚衣切二[溰/凒]
沃	20479	3229	ʔowk		灌也說文作𣵽又姓太甲子沃丁之後出風俗通烏酷切七
沄	4132	456	ɦiun		說文云轉流也
沄	4431	483	ɦwon		水流皃
沅	4269	469	ŋwiɐn		水名[在象郡鐔淫城西/在武陵郡鐔成西]亦云在⿰片羊⿰片可
沆	7479	852	ɦɑŋ		渡也又胡朗切
沆	13390	1838	ɦɑ̋ŋ		沆瀣氣也胡朗切六
沇	12375	1642	jwie̋n		上同渷濟水別名出王屋山
沈	9071	1050	ɖim	sink (v.t.)	没也說文曰陵上滈水也又漢複姓魯有沈猶氏常朝飲其羊何氏姓苑云今泰山人直深切又尸甚切九
沈	14117	1986	ɕi̋m	(name of a state)	國名古作邥亦姓出吳興本自周文王第十子聃季食采於沈即汝南平輿沈亭是也子孫以國爲氏式[任/荏]切又丈林切十四
沈	19615	3088	ɖimʱ	sacrifice in which gifts are sunk in water	又直壬切
沉	9072	1050	ɖim		俗沈没也說文曰陵上滈水也又漢複姓魯有沈猶氏常朝飲其羊何氏姓苑云今泰山人直深切又尸甚切九
沋	8410	986	ɦiu		水名在髙密
沌	4534	492	dwon		水勢
沌	11794	1537	dwőn		混沌
沌	12428	1650	ɖwie̋n		水名在江夏又徒混切
沏	22249	3468	tsʰet		水聲
沐	20134	3199	muk		沐浴說文曰濯髮也禮記曰頭有創則沐又姓風俗通曰漢有東平太守沐寵又漢複姓有沐𥳑氏何氏姓苑云今任城人
沑	13843	1940	nʑiű		說文曰水吏也又温也
沑	20400	3219	ɳiuk		蹜沑水文聚
沓	24622	3780	dəp	join, unite	重也合也又語多沓沓也又虜複姓後魏書沓盧氏後改爲沓氏徒合切十八
沔	12350	1637	mjie̋n	richly flowing stream	漢水別名亦州名春秋鄖國之地戰國時屬楚秦屬南郡武德初平朱粲置沔州
沕	21164	3313	mit		塵濁
沕	21323	3340	miut		沕穆微也
沖	68	4	ɖiuŋ	sound of cutting ice	和也深也
沘	1314	147	bji		水名在楚
沘	10291	1258	pji̋		水名出廬江𤅬縣入芍陂今謂之[渒/淠]水也
沙	6852	784	ʂɣa	sand	沙汰說文曰水散石也爾雅曰潁爲沙謂大水溢出別爲小水之名亦州取沙角山爲名即三秦記鳴沙山也又姓何氏姓苑云東莞人又漢複姓二氏左傳齊有夙沙衞神農時夙沙氏之後漢書功臣表有昭沙掉尾又百濟有沙吒氏
沙	18802	2888	ʂɣaʱ		周禮云鳥皫色而沙鳴注云沙嘶也又所加切
沚	10391	1286	tɕɨ̋		釋名曰沚止也小可以止息其上說文曰小渚曰沚
沛	16476	2430	pɑiʱ		郡名又姓出姓苑又匹蓋切
沛	16491	2431	pʰɑiʱ		流皃亦滂沛又水名出遼東又音貝
沜	17721	2663	pʰwɑnʱ		水涯[眫/胖]
沝	10201	1232	tɕwie̋		二水又音資
沞	24677	3783	tsəp		湆沞纔濕
没	21556	3372	mwot		沈也又虜三字姓有沒路眞氏出後魏書莫勃切六
沫	21880	3407	mwɑt		水沫一曰水名在蜀又武泰切
沬	15375	2275	miuiʱ		水名
沬	16594	2451	mɑiʱ		[沬/沫]水名
沭	21207	3323	ʑwit		水名在琅邪今沭陽縣在海州
沮	2098	233	tsʰiɤ		止也非也又水名在房陵所謂沮漳[亦/書]云漆沮旣從並在[此/北]地又子魚側魚疾與子預四切
沮	2198	245	tsiɤ		虜複姓有沮渠氏其先丗爲匈奴左沮渠遂以官爲氏沮渠蒙遜以後魏天興四年僭號於張掖稱北涼
沮	2214	247	tʂiɤ		人姓丗本云沮誦蒼頡作書並黃帝時史官
沮	10711	1342	dziɤ̋	stop, prevent	止也又七余子預二切
沮	15583	2306	tsiɤʱ		沮洳漸濕亦作𣶝
沰	23021	3573	tʰɑk		赭也又磓也
沱	6450	729	dɑ	flow (v.)	滂沱大雨也詩云月離于畢俾滂沱矣又爾雅云江爲沱謂江水出别爲沱也
沱	12936	1735	dɑ̋		瀢沱沙水往來皃又徒河切
河	6523	735	ɦɑ	river	水名出積石山海經云河出崐崘西北隅發源注海亦州取水以名之爾雅有九河徒駭太史馬頰覆釜胡蘇𥳑絜鉤盤鬲津
沴	16146	2380	leʱ		妖氣說文曰水不利也
沶	1638	187	jɨ		水名
沸	15400	2279	piuiʱ	boil (v.)	詩曰觱沸[濫/檻]泉箋云觱沸者謂泉涌出皃方味切十一
油	8494	990	jiu	flow(ing)	水名出武陵又油脂
油	19425	3056	jiuʱ		雚子桐花曰油
沺	5138	584	den		字林云沺沺水勢廣大無際之皃
治	1819	203	ɖɨ	regulate, arrange	水名出東萊亦理也直之切三
治	15101	2219	ɖiʱ		理也又直之切
治	15256	2252	ɖɨʱ	regulate, arrange	理也又丈之切
沼	12588	1678	tɕie̋w	pool	池沼之少切三
沽	2687	281	ko		水名在髙密
沽	10992	1380	kő		屠沽
沽	15814	2347	koʱ		上同酤賣也又旨姑
沾	9525	1111	ʈiem	moisten	水名在上黨說文他兼切
沾	9594	1124	tʰem		說文曰水出壼關東入淇一曰沾益也
沾	19818	3145	temʱ		水名在上黨說文他兼切
沿	5441	623	jwien	go along (a river); follow	從流而下也與專切十二
況	18925	2915	hwiɑŋʱ	compare with, be equal to	匹擬也善也矧也說文曰寒水也亦脩況琴名又姓何氏姓苑云今廬江人許訪切四
泂	13644	1898	ɦwe̋ŋ		詩云泂酌
泄	16321	2404	jieiʱ	leak, ooze	水名在九江又音薛
泄	22525	3491	siet	leak, ooze	漏泄也歇也亦作洩又姓左傳鄭大夫洩駕又餘制切
泅	8697	1011	ziu	swim	人浮水上
泆	21004	3295	jit		淫泆
泆	22363	3476	det		泆蕩
泈	87	5	tɕiuŋ		水名在襄陽
泉	5405	617	dzwien	spring, source	水源也又錢別名
泊	23088	3581	bɑk	calm, still	止也傍各切十一
泋	15435	2283	hiuiʱ		水波汶也
泌	14992	2204	piʱ		泉皃
泌	21135	3308	bjit		水[浹/狹]流又必媚切
泌	21193	3317	pit		泌瀄水流
泎	23293	3606	ɖʐɣak		瀺泎水落地聲
泏	21290	3331	ʈwit		水出皃
泏	21680	3384	kʰwot		漚池
泐	24318	3727	lək		凝合
泑	8990	1034	ʔiw		澤在崐崘山下
泑	14059	1974	ʔi̋w		崑崙山下澤也
泒	2679	281	ko		水在鴈門
泓	7841	904	ʔɣwɛŋ		水深也烏宏切四
泔	9371	1088	kɑm		米汁
法	25325	3870	pwiɐp	model, law	則也數也常也又姓左傳齊襄王法章之後秦滅齊子孫不敢稱故以法爲氏宣帝時徙三輔代爲二千石後漢有扶風法雄法子眞並有傳方乏切二
泖	12717	1703	mɣa̋w		水名在吳華亭縣
泗	15168	2230	siʱ		水名在魯說文曰受沛水東入淮又涕泗也
泙	7645	875	biaŋ		水名說文谷也
泚	10099	1219	tsʰie̋	clear (adj.)	水淸又千禮切
泚	11139	1401	tsʰe̋		水淸也千禮切四
泛	19906	3179	pʰwiɐmʱ	to float	上同汎浮皃孚梵切八
泛	25323	3869	bwiɐp		水聲又孚𣑽切
泜	1397	155	ɖi		水名在常山陳餘死處也又旨夷切
泝	15857	2350	soʱ	go against current	逆流而上廣雅曰泝斗舟中抒水斗
泠	8094	939	leŋ		淸泠水也又水名出丹陽又姓左傳周大夫泠州鳩
泡	6119	695	pʰɣaw		水上浮漚說文曰水出山陽平樂東北入泗又音庖
泡	6169	701	bɣaw		水名又匹交切
波	6633	751	pwɑ	wave (n.)	波浪博禾切六
泣	24500	3761	kʰip	weep	無聲出涕去急切三
泤	10430	1292	zɨ̋		上同洍說文曰水也一曰詩曰江有洍
泥	3164	314	ne	mud	水和土也說文云水出[-/北地]郁郅北蠻中詩䟽云泥中衛之小邑又姓出姓苑奴低切又奴計切四
泥	16167	2382	neʱ	impeded, obstructed (Lunyu)	滯陷不通語云致逺恐泥奴計切又奴低切五
泦	20274	3205	kiuk		水[名/文]
泧	21476	3358	ɦwiɐt		大水
泧	21529	3365	hwiɐt		水皃
泧	21955	3416	hwɑt		瀎泧
注	15649	2321	tɕwioʱ		灌注也又注記也之戍切十六
泫	12171	1613	ɦwe̋n		露光又泫然涕流皃胡畎切十四
泬	22285	3471	hwet		泬寥空皃
泭	2497	266	bwio		水上泭漚說文曰編木以渡也本音孚或作𣻜
泭	2535	269	pʰwio		小木栰也說文云編木以渡也
泮	17719	2663	pʰwɑnʱ		泮宫禮記作頖
泯	3950	433	mjin	destroy	沒也又亡忍切
泯	11521	1482	mji̋n		水皃亦滅也盡也武盡切又彌鄰切十
泰	16431	2422	tʰɑiʱ	great	大也通也古作太他蓋切四
泱	7233	832	ʔiɑŋ		水流皃又烏朗切
泱	13433	1843	ʔɑ̋ŋ		滃泱水皃
泳	19066	2956	ɦwiaŋʱ	go in water, wade	潜行水中
泿	3887	423	ŋin		水名
泿	4592	506	ŋən		水名
洁	20989	3293	kjit		水名
洄	3427	367	ɦwoi		逆流
洅	11349	1443	tswői		說文云雷震洅洅本作代切
洇	3735	403	ʔjin		水名
洈	1215	128	ŋwie		水名在南郡
洈	10026	1208	kwie̋		水名出南郡東洈山至華容縣入江也
洊	17967	2711	dzenʱ	twice; a second time	水荒曰洊亦再也易曰洊雷震
洋	6965	805	jiɑŋ	great expanse of water'	水流皃又海名又音祥
洋	6985	806	ziɑŋ		水名出齊郡臨胊縣北亦州名本漢成固縣秦爲漢中郡魏置洋州
洌	16390	2408	lieiʱ		淸水又音列
洌	22544	3492	liet		水淸也潔也
洍	1632	187	jɨ		水名詩云江有洍又音似毛詩作汜
洍	10429	1292	zɨ̋		說文曰水也一曰詩曰江有洍
洎	15123	2222	kiʱ		肉汁又音臮
洎	15128	2223	ɡiʱ		潤也及也
洏	1723	194	nʑɨ		漣洏涕流皃
洐	7705	887	ɦɣaŋ		溝水也
洑	20177	3201	biuk		洄流
洒	11138	1400	se̋	wash	上同洗又所賣切洗浴又姓先禮切又音銑二
洒	16657	2468	ʂɣɛʱ		洒埽又先禮切
洓	23707	3658	tsʰiek		水名在北[-/地]
洔	10392	1286	tɕɨ̋		上同沚說文曰水暫益且止未減也釋名曰沚止也小可以止息其上說文曰小渚曰沚
洔	10466	1298	ɖɨ̋		水中髙土又音止
洕	17107	2554	jinʱ		小水
洗	11137	1400	se̋	wash	洗浴又姓先禮切又音銑二
洗	12083	1602	se̋n	wash	姑洗律名
洘	12908	1729	kʰɑ̋w		水乾
洙	2388	260	dʑwio		水名在魯
洚	269	25	ɦuŋ		說文曰水不遵道一曰下也又戸冬下江二切
洚	412	40	ɦowŋ		說文曰水不遵道一曰下也孟子曰洚水警子
洚	708	74	ɦɣɔŋ		說文曰水不遵道一曰下也又古巷切
洚	14720	2141	kɣɔŋʱ		水流不遵道
洛	22974	3572	lɑk		水名書曰導洛自熊耳漢書作雒
洝	17522	2636	ʔɑnʱ		說文曰渜水也
洞	37	2	duŋ		洪洞縣名在晉州北又徒弄切
洞	14612	2101	duŋʱ		空也又洞庭湖徒弄切十六
洟	1301	145	ji		易曰齎咨涕洟又他計切
洟	15972	2364	tʰeʱ	mucus from the nose	鼻洟
洣	11166	1404	me̋		水名在荼陵
津	3832	416	tsin	ford (n.)	說文作𣸁。水渡也將鄰切五
洦	23229	3596	mɣak		水淺皃
洦	23337	3615	pʰɣak		淺水
洧	10308	1260	ɦwi̋	name of a river	水名在鄭榮美切四
洨	6015	687	ɦɣaw		水名出常山又縣名在沛郡
洩	16322	2404	jieiʱ		上同泄水名在九江又音薛
洪	257	25	ɦuŋ		大也亦姓共工氏之後本姓共氏後改爲洪氏户公切二十二
洫	24238	3716	hwɨk	channel; moat	溝洫況逼切十四
洬	20525	3235	sowk		雨聲先篤切二
洭	7216	830	kʰwiɑŋ		水名出桂陽含洭縣
洮	5863	668	jiew		五湖名風土記云陽羨縣西有洮湖別名長塘湖義興記曰太湖射湖貴湖陽湖洮湖是爲五湖
洮	6261	711	tʰɑw		水名出西羌又淸汰也
洱	10439	1294	nʑɨ̋		水名出罷谷山又而志切
洱	15304	2261	nʑɨʱ		水名
洲	8582	998	tɕiu	islet	洲渚也爾雅曰水中可居曰洲
洳	2190	244	nʑiɤ	name of a river	水名在南郡又人慮切
洳	15586	2308	nʑiɤʱ	wet ground	沮洳說文作𣹤漸濕也人恕切三
洴	8212	943	beŋ		莊子曰有洴澼絖造絮者也
洵	3974	437	swin		水名在晉陽
洵	4051	448	zwin		均也龕也
洶	515	52	hiowŋ		水勢也
洶	9922	1185	hiow̋ŋ		洶溶水皃許拱切三
洸	7421	846	kwɑŋ		水名又烏光切
洸	7454	849	ʔwɑŋ		水名又音光
洹	4294	470	ɦwiɐn		水名亦縣名在相州又音桓
洹	4715	522	ɦwɑn		水名在鄴又干元切
洺	7955	921	mieŋ		水名在易陽亦州名春秋時爲赤狄之地後屬晉秦爲邯鄲郡周於此置名州以洺水爲名
活	21908	3412	kwɑt		水流聲又乎括切
活	21934	3414	ɦwɑt	to live	不死也又水流聲戸括切八
洼	3184	316	kwe		姓也漢有大鴻臚洼丹又音哇
洼	3299	334	ʔɣɛ		水名
洼	6905	790	ʔɣwa		深也亦渥洼水名又於佳切
洽	25129	3843	ɦɣɛp	accord with	和也合也霑也侯夾切十四
派	16643	2465	pʰɣɛʱ		分流也俗作派匹卦切七
洿	2821	290	ʔo	impure	說文曰濁水不流者
洿	11056	1389	ɦő		洿深皃
流	8440	988	liu	flow (v.)	演也求也覃也放也說文曰水行也
浖	22681	3515	lwiet		隈隅也
浘	10524	1311	miui̋		水流皃又浘𤁵海水洩處案莊子作尾閭字不从水
浙	22581	3496	tɕiet		江名在東陽一曰浙米也
浚	17227	2575	swinʱ		水名在衞亦浚儀縣名
浛	19671	3106	ɦəmʱ		水和物
浜	7744	892	pɣɛŋ		布耕切安船溝又布耿切[三/二][捠/㙃]
浜	13549	1867	pɣa̋ŋ		浦名布梗切又布耕切三
浝	672	70	mɣɔŋ		水名
浞	20723	3268	ɖʐɣɔk		水濕士角切十二
浟	8498	990	jiu		水流皃
浡	21589	3375	bwot		浡然興作
浢	19501	3067	dəuʱ		水名
浣	11916	1561	ɦwɑ̋n	to wash clothes	上同澣濯也
浤	7755	893	ɦɣwɛŋ		浤浤汨汨水波之勢
浥	24541	3766	ʔip	moist, moisten	濕潤
浥	25210	3853	ʔɣɛp		波下又濕皃
浥	25308	3866	ʔiɐp		潤也
浦	11064	1390	pʰő	river bank	風土記云大水有小口別通曰浦說文濵也又姓晉起居注有浦選
浧	13598	1885	jie̋ŋ		泥也
浨	14265	2017	lə̋m		藏梨汁也出字林
浩	12771	1713	ɦɑ̋w	vast	浩汗大水皃又姓漢靑州剌史浩賞又漢複姓魯人浩星公治榖梁
浩	24588	3777	kəp		浩亹地名亹音門
浪	7298	838	lɑŋ	(name of a river)	滄浪水名又盧宕切
浪	18958	2926	lɑŋʱ		波浪謔浪游浪又姓晉永嘉末張平保靑州爲其下浪逢所殺來宕切又魯當切五
浭	7545	861	kɣaŋ		水名出北平
浮	8784	1015	biu	float (v.)	汎也縛謀切二十四
浯	2759	285	ŋo		水名
浰	17902	2701	lenʱ		水疾流皃
浴	20626	3253	jiowk		洗浴說文曰洒身也洒先禮切
浵	379	36	dowŋ		水名亦水皃
海	11351	1445	hə̋i	sea	說文曰天池也以納百川者亦州禹項徐州之域七國時屬楚秦爲薛郡漢爲東海郡後魏爲海州亦姓呼改切[二/三]
浸	9027	1045	tsʰim		浸滛也又子鴆切
浸	19605	3086	tsimʱ		漬也漸也子鴆切四
浹	25121	3840	tsep		洽也通也徹也浹辰十二日也子協切三
浺	90	6	ʈʰiuŋ		浺瀜水平逺之皃又音蟲
浻	13555	1870	ʔɣwa̋ŋ		㴄澋水回旋也
浼	11288	1433	mwői	defile (v.)	水流平皃武罪切六
浽	1506	168	swi		浽溦小雨
浽	11323	1438	nwői		溾浽
浾	6879	786	tʂɣa		棠汁
浿	16490	2431	pʰɑiʱ		水在樂浪
浿	16736	2482	pʰɣɛiʱ		水名在樂浪
涀	11159	1403	he̋		水名在髙陵
涀	17927	2704	kʰenʱ		水名
涀	17932	2705	ɦenʱ		水名
涂	2177	243	ɖiɤ		水名在堂邑又直胡切
涂	2709	282	do	path	水名在益州
涃	17438	2615	kʰwonʱ		水名
涅	22396	3479	net		水名出東郡又水中黑土奴結切十二[下從⿱臼土者竝當從圼]
涇	8002	932	keŋ		水名淮南子云涇水出薄[洛/落]之山
涇	13601	1886	ɡie̋ŋ		[涇/𠗊]玉篇云寒也
消	5748	658	siew	dissolve; disappear	滅也盡也息也
涉	24870	3812	dʑiep		歷也徒行渡水也亦漳水別名涉縣是也又姓左傳晉大夫涉佗時攝切四
涉	25119	3838	tep		血流皃又時懾切
涊	11449	1469	nʑi̋n		水名在上黨
涊	12157	1611	ne̋n		淟涊
涌	9875	1180	jiow̋ŋ		涌泉說文曰滕也一曰涌水在楚國
涍	6104	693	hɣaw		水名在[-/河]南郡
涍	18349	2792	hɣawʱ		水名在[南陽/河南]
涎	5486	628	zien		上同㳄口液也夕連切二
涎	18148	2750	jienʱ		湎涎水流
涏	13682	1902	de̋ŋ		[涇/𠗊]寒
涏	17889	2699	denʱ		美好皃
涐	6493	731	ŋɑ		水名[在/出]汶江
涑	8905	1021	səu		澣也速侯切八
涑	20030	3190	suk		水名在河東
涑	20685	3263	siowk		水名在河東又蘇侯切
涒	4516	491	tʰwon		涒灘歳在申也
涓	5210	592	kwen		說文曰小流也又姓列仙傳有齊人㳙子古𤣥切八
涔	9213	1068	ɖʐim		涔陽地名又管涔山名又蹄涔不容尺鯉蹄牛馬跡
涕	11093	1394	tʰe̋	tears (n.)	目汁
涕	15971	2364	tʰeʱ	tears (n.)	涕淚
涖	15064	2213	liʱ		涖涖水聲
涖	16152	2380	leʱ		汔也又力二切
涗	16243	2393	ɕwieiʱ		温水又淸也
涘	10483	1301	ʐɨ̋		水岸涯也
涪	8796	1015	biu		水名在巴西
涫	4801	530	kwɑn		樂涫縣在酒泉
涫	17654	2652	kwɑnʱ		沸也
涬	13707	1908	ɦe̋ŋ		瀴涬大水皃
涮	17785	2677	ʂɣwanʱ		涮洗也
涯	989	108	ŋie		水畔也又五佳切
涯	3292	333	ŋɣɛ	river bank; limit	水際
液	23632	3652	jiek	fluid	律液又姓急就章有液客調
涳	185	21	kʰuŋ		涳濛小雨又口江切
涳	684	71	ɳɣɔŋ		姓出纂文又音[⿰羊咅/羫]
涳	742	81	kʰɣɔŋ		直流
涴	18646	2858	ʔwɑʱ		泥著物也亦作汚烏臥切又烏官切又於阮切一
涵	9277	1076	ɦəm	soak, overflow	涵泳
涵	14254	2016	ɦə̋m		水入船又胡南切
涶	6612	748	tʰwɑ		水在西河
涶	18597	2841	tʰwɑʱ		上同唾說文云口液也湯臥切七
涷	9	1	tuŋ		瀧涷沾漬說文曰水出發鳩山入於河又都貢切
涷	14585	2096	tuŋʱ		瀑雨又水名出發鳩山多貢切又音東七
涸	23116	3584	ɦɑk		水竭也下各切十一
涹	6669	755	ʔwɑ		濁也
涺	2022	229	kiɤ		水名
涻	18757	2877	ɕiaʱ		文字音義云涻水出北嚻山也
涼	6997	807	liɑŋ	cold	薄也亦寒涼也又州名禹貢雍州之域古西戎地也六國時至秦屬戎狄月氏居焉秦置三十六郡西北唯有隴西北地二郡於漢屬涼州部至武帝改雍州爲涼州後獻帝分渭川河西四郡爲雍州建安十八年復改爲涼州又姓魏志有太子太傅山陽涼茂
涼	18837	2894	liɑŋʱ		薄也又吕張切
涾	24627	3780	dəp		沸溢
涿	20755	3271	ʈɣɔk		郡名
淀	17884	2699	denʱ		陂淀泊屬
淁	24958	3821	tsʰiep		水名
淂	24303	3725	tək		水皃又丁力切
淃	18072	2732	ɡwienʱ		水名
淅	23782	3672	sek		淅米
淆	6021	687	ɦɣaw		混淆濁水
淇	1685	192	ɡɨ		水名出沮洳之山說文曰淇水出河内共北山東入河
淈	21569	3374	kwot		說文濁也一曰滒泥又水出皃
淈	21720	3389	ɦət		淈泥又古忽切
淊	9667	1136	ʔɣɛm		淊沒
淊	14250	2016	ɦə̋m		水和泥或作涵
淊	14340	2033	jie̋m		㶘淊水滿
淊	19853	3160	ʔɣɛmʱ		水沒
淋	9049	1047	lim	water (v.)	以水沃也
淑	20283	3207	dʑiuk	fine, good	善也
淒	2933	299	tsʰe		雲皃又千弟切
淓	7243	835	pʰwiɑŋ		水名
淔	24054	3697	ʈʰɨk		水名
淕	20224	3203	liuk		凝雨澤也
淖	18393	2801	ɳɣawʱ		泥淖
淙	390	37	dzowŋ		水聲又士江切
淙	761	86	ɖʐɣɔŋ		水流皃士江切又才宗切四
淙	14736	2149	ʂɣɔŋʱ		水出皃色絳切二
淚	14978	2203	lwiʱ	tears (n.)	涕淚俗作㴃
淛	16289	2402	tɕieiʱ		水名
淜	8268	951	bɨŋ		說文曰無舟渡河也
淝	1912	216	biui		水名在廬江本作肥
淞	458	48	ziowŋ		凍落皃又先恭切
淞	638	66	siowŋ		水名在吳又音松
淟	12096	1603	tʰe̋n		淟涊熱風
淠	15017	2206	pʰiʱ		水名在汝南
淡	9360	1087	dɑm		水皃又徒覽徒濫二切
淡	14314	2025	dɑ̋m	insipid	淊淡水滿皃又薄味也又徒濫切
淡	14338	2033	jie̋m		澹淡水皃又徒敢切
淡	19746	3124	dɑmʱ		水味
淢	24236	3715	ɦwɨk		溭淢波勢
淢	24250	3716	hwɨk	channel; moat	疾流
淤	2142	239	ʔiɤ		淤泥又依倨切
淤	15565	2301	ʔiɤʱ		濁水中泥也又音於
淦	9350	1085	kəm		水入船中又最也泥也汲也又甘暗切吉州有新淦縣水[-/淦]所出入湖或作汵
淦	19665	3105	kəmʱ		新淦縣在豫章
淧	21087	3305	mjit		淧溢也
淨	19133	2987	dzieŋʱ	clean (adj.)	無垢也疾政切八
淩	8244	949	lɨŋ		歷也又水名出臨淮亦姓吳將有淩統
淪	4003	441	lwin		沒也力迍切十五
淫	9101	1055	jim	excess; licentious	久雨曰淫書曰罔淫于樂傳云淫過也餘針切十五
淬	16868	2515	tsʰwoiʱ	dip into a fluid	染也犯也寒也
淭	2033	230	ɡiɤ		淭挐方言云[把/杷]宋魏之閒謂之淭挐
淮	3359	345	ɦɣwɛi	(name of a river)	水名出桐栢又姓也
淯	20308	3209	jiuk		水名出攻離山
淰	14126	1986	ɕi̋m		淰㴸水動也禮運曰龍以爲畜故魚鮪不淰淰之言閃也
淰	14446	2053	ne̋m		水流皃乃玷切四
淰	14526	2077	ɳɣɛ̋m		水無波也又乃玷切
深	9099	1054	ɕim	deep	逺也又水名出桂陽南平式針切二
深	19655	3103	ɕimʱ	depth	不淺也式禁切又式今切二
淲	9013	1039	biw		水流皃亦作滮皮彪切三
淳	3990	438	dʑwin	a pair	淸也朴也又姓何氏姓苑云今吳人
淴	21633	3379	ʔwot		水出聲
淵	5200	591	ʔwen	abyss	深也管子曰水出而不流曰淵又姓丗本有齊大夫淵湫烏𤣥切十
淶	3631	389	ləi		水名出涿郡
混	11752	1530	ɦwőn		混流一曰混沌隂陽未分胡本切十六
淹	9529	1113	ʔiem	submerge, soak	漬也滯也久留也敗也央炎切六
淹	19918	3182	ʔiɐmʱ		𣳚也又繅絲一淹也
淺	5058	578	tsen		淺淺流疾皃又倉翦切
淺	12264	1625	tsʰie̋n	shallow	不深也[士/七]演切一
添	9593	1124	tʰem	add	益也他兼切四
淼	12631	1686	mjie̋w		大水
清	7859	908	tsʰieŋ	clear (adj.)	山海經曰太畤之山淸水出焉釋名曰淸靑也去濁逺穢色如靑也又靜也澄也潔也七情切二
渌	20034	3191	luk		說文同上漉滲漉又瀝也說文浚也一曰水下皃
渌	20638	3255	liowk		渌水名在湘東又姓何氏姓苑有渌圖爲顓頊師
渒	1091	116	pjie		水名
渒	16124	2378	pʰeʱ		[渒/淠]水名在汝南
渙	16529	2436	hwɑiʱ		水名在譙又音喚
渙	17694	2659	hwɑnʱ	amply-flowing	水散又音翽
渚	10634	1328	tɕiɤ̋	islet	沚也釋名曰小洲曰渚渚遮也能遮水使旁迴也又水名出常山
減	14487	2065	ɦɣɛ̋m	abridge	減耗又古斬切
減	14506	2068	kɣɛ̋m	reduce	損也又姓漢有減宣
渜	11968	1569	nwɑ̋n		湯也
渜	17733	2665	nwɑnʱ		浴餘汁也
渝	2424	261	jwio	change (v.)	渝變也亦州名本巴國漢爲巴郡之江州縣梁於巴郡置楚州隋改爲渝州因渝水爲名
渟	8031	934	deŋ		水止
渠	2025	230	ɡiɤ	canal	溝渠也亦州名宋置宕渠郡周仍爲郡武德初改置州亦有宕渠山又姓左傳衞有渠孔御戎強魚切二十六
渡	15774	2343	doʱ	to ford	濟也過也去也徒故切五
渢	146	16	biuŋ		𢎞大聲也
渣	6876	786	tʂɣa		上同溠水名出義陽又側稼切
渤	21580	3375	bwot		渤澥海名又水皃
渥	20866	3278	ʔɣɔk	moisten, smear	霑濡於角切十七
渦	6547	739	kwɑ		亦作濄水名出淮陽扶溝浪蕩渠又姓三輔決録有扶風太守渦尚
渦	6668	755	ʔwɑ		水坳
渧	15951	2362	teʱ		埤蒼云渧𤃀漉也
渨	3418	366	ʔwoi		渨没
渫	22526	3491	siet		治井亦除去又姓渫子古賢者出韓子
渫	25156	3845	ɖʐɣɛp		水名出上黨郡
測	24114	3707	tʂʰɨk	fathom (v.)	度也初力切六
渭	15389	2277	ɦiuiʱ		水名亦州名書曰終南敦物至于鳥䑕鳥䑕山名渭所出也秦伐義渠始置隴西郡後魏莊帝置渭州因水爲名也
港	9937	1193	kɣɔ̋ŋ		水派
港	14656	2113	ɦuŋʱ		港洞開通
渰	14418	2046	ʔie̋m		雲雨皃詩云有渰淒淒
渱	270	25	ɦuŋ		潰渱水沸湧也
渲	18116	2740	swienʱ		小水
渳	10157	1227	mjie̋		水皃說文㱃也綿婢切十一
渴	21803	3398	kʰɑt	thirsty	飢渴又虜複姓二氏後魏書渴侯氏後改爲緱氏渴單氏後改爲單氏亦虜三字姓後魏書北方渴[獨/燭]渾氏後改爲朱氏苦曷切八
渴	22570	3494	ɡiet		水盡也
渶	7630	873	ʔiaŋ		水名出靑丘山
渷	12374	1642	jwie̋n		濟水別名出王屋山
游	8512	990	jiu	float, swim	浮也放也又姓出馮翊廣平前燕慕容廆以廣平游䆳爲股肱
