Index	Baxter	polyhedron
2084	xaemX	hramx
2085	dzraemX	zramx
2086	bjomX	byamx
2087	mjomX	myamx
2088	pjomX	pyamx
2089	khjomX	khyamx
2090	phjomX	phyamx
2091	trhjomX	thryamx
2092	suwngH	sungh
2093	bjuwngH	biungh
2094	kuwngH	kungh
2095	luwngH	lungh
2096	tuwngH	tungh
2097	khuwngH	khungh
2098	tsuwngH	cungh
2099	'uwngH	qungh
2100	tshuwngH	chungh
2101	duwngH	dungh
2102	thuwngH	thungh
2103	drjuwngH	driungh
2104	pjuwngH	piungh
2105	khjuwngH	khiungh
2106	mjuwngH	miungh
2107	xjuwngH	hiungh
2108	muwngH	mungh
2109	tshjuwngH	chiungh
2110	phjuwngH	phiungh
2111	dzuwngH	zungh
2112	trjuwngH	triungh
2113	huwngH	ghungh
2114	nuwngH	nungh
2115	tsyuwngH	cjungh
2116	tsyhuwngH	chjungh
2117	dzrjuwngH	zriungh
2118	xuwngH	hungh
2119	sowngH	suungh
2120	tsowngH	cuungh
2121	thowngH	thuungh
2122	mowngH	muungh
2123	howngH	ghuungh
2124	yowngH	jyungh
2125	zjowngH	zsyungh
2126	bjowngH	byungh
2127	gjowngH	gyungh
2128	pjowngH	pyungh
2129	kjowngH	kyungh
2130	'jowngH	qyungh
2131	trjowngH	tryungh
2132	tsjowngH	cyungh
2133	trhjowngH	thryungh
2134	nyowngH	njyungh
2135	tsyowngH	cjyungh
2136	drjowngH	dryungh
2137	ljowngH	lyungh
2138	khjowngH	khyungh
2139	dzjowngH	zyungh
2140	nrjowngH	nryungh
2141	kaewngH	krungh
2142	haewngH	ghrungh
2143	traewngH	trungh
2144	draewngH	drungh
2145	trhaewngH	thrungh
2146	dzraewngH	zrungh
2147	phaewngH	phrungh
2148	tsrhaewngH	chrungh
2149	sraewngH	srungh
2150	tsyeH	cjeh
2151	bjieH	bjeh
2152	tsyweH	cjyeh
2153	ljeH	lieh
2154	dzyeH	zjeh
2155	tsjeH	cieh
2156	sjeH	sieh
2157	hjweH	yeh
2158	kjweH	kyeh
2159	phjeH	phieh
2160	pjeH	pieh
2161	bjeH	bieh
2162	ljweH	lyeh
2163	kjeH	kieh
2164	pjieH	pjeh
2165	gjeH	gieh
2166	tshjeH	chieh
2167	yeH	jeh
2168	ngjeH	ngieh
2169	phjieH	phjeh
2170	dzjeH	zieh
2171	trjeH	trieh
2172	'jeH	qieh
2173	drjweH	dryeh
2174	tsyhweH	chjyeh
2175	xjeH	hieh
2176	khjieH	khjeh
2177	'jieH	qjeh
2178	syeH	sjeh
2179	srjeH	srieh
2180	khjwieH	khjyeh
2181	'jweH	qyeh
2182	ngjweH	ngyeh
2183	xjweH	hyeh
2184	'jwieH	qjyeh
2185	dzyweH	zjyeh
2186	kjieH	kjeh
2187	nyweH	njyeh
2188	tsyheH	chjeh
2189	sjweH	syeh
2190	trjweH	tryeh
2191	yweH	jyeh
2192	nrjweH	nryeh
2193	kjwieH	kjyeh
2194	tsrjeH	crieh
2195	xjwieH	hjyeh
2196	khjeH	khieh
2197	tsyijH	cjiih
2198	hwijH	yih
2199	mijH	miih
2200	zwijH	zsyih
2201	tswijH	cyih
2202	swijH	syih
2203	lwijH	lyih
2204	pijH	piih
2205	gwijH	gyih
2206	phijH	phiih
2207	bijH	biih
2208	kwijH	kyih
2209	srwijH	sryih
2210	khwijH	khyih
2211	xwijH	hyih
2212	dzyijH	zjiih
2213	lijH	liih
2214	nrijH	nriih
2215	phjijH	phjiih
2216	ngijH	ngiih
2217	trijH	triih
2218	khjijH	khjiih
2219	drijH	driih
2220	mjijH	mjiih
2221	trhijH	thriih
2222	kijH	kiih
2223	gijH	giih
2224	gjwijH	gjyih
2225	tshwijH	chyih
2226	nyijH	njiih
2227	tsijH	ciih
2228	tshijH	chiih
2229	'ijH	qiih
2230	sijH	siih
2231	khijH	khiih
2232	kjwijH	kjyih
2233	bjijH	bjiih
2234	xjwijH	hjyih
2235	pjijH	pjiih
2236	dzwijH	zyih
2237	dijH	diih
2238	xijH	hiih
2239	yijH	jiih
2240	zyijH	zsjiih
2241	dzijH	ziih
2242	drwijH	dryih
2243	tsyhwijH	chjyih
2244	ywijH	jyih
2245	xjwijH	hjyih
2246	trwijH	tryih
2247	tsyhijH	chjiih
2248	syijH	sjiih
2249	tsrhwijH	chryih
2250	sywijH	sjyih
2251	tsyiH	cjih
2252	driH	drih
2253	ziH	zsih
2254	tshiH	chih
2255	siH	sih
2256	syiH	sjih
2257	tsriH	crih
2258	liH	lih
2259	dziH	zih
2260	trhiH	thrih
2261	nyiH	njih
2262	sriH	srih
2263	tsrhiH	chrih
2264	yiH	jih
2265	triH	trih
2266	dzyiH	zjih
2267	dzriH	zrih
2268	giH	gih
2269	tsyhiH	chjih
2270	'iH	qih
2271	kiH	kih
2272	xiH	hih
2273	ngiH	ngih
2274	khiH	khih
2275	mj+jH	myoih
2276	kjw+jH	kyoih
2277	hjw+jH	yoih
2278	ngjw+jH	ngyoih
2279	pj+jH	pyoih
2280	phj+jH	phyoih
2281	khjw+jH	khyoih
2282	'jw+jH	qyoih
2283	xjw+jH	hyoih
2284	bj+jH	byoih
2285	kj+jH	kioih
2286	ngj+jH	ngioih
2287	khj+jH	khioih
2288	xj+jH	hioih
2289	gj+jH	gioih
2290	'j+jH	qioih
2291	ngjoH	ngioh
2292	ljoH	lioh
2293	kjoH	kioh
2294	tshjoH	chioh
2295	khjoH	khioh
2296	dzyoH	zjoh
2297	syoH	sjoh
2298	trjoH	trioh
2299	tsyoH	cjoh
2300	srjoH	srioh
2301	'joH	qioh
2302	drjoH	drioh
2303	gjoH	gioh
2304	sjoH	sioh
2305	dzrjoH	zrioh
2306	tsjoH	cioh
2307	tsrjoH	crioh
2308	nyoH	njoh
2309	yoH	joh
2310	xjoH	hioh
2311	nrjoH	nrioh
2312	tsrhjoH	chrioh
2313	tsyhoH	chjoh
2314	trhjoH	thrioh
2315	zjoH	zsioh
2316	ngjuH	ngyoh
2317	'juH	qyoh
2318	dzyuH	zjyoh
2319	drjuH	dryoh
2320	bjuH	byoh
2321	tsyuH	cjyoh
2322	kjuH	kyoh
2323	xjuH	hyoh
2324	syuH	sjyoh
2325	yuH	jyoh
2326	nyuH	njyoh
2327	phjuH	phyoh
2328	mjuH	myoh
2329	tsjuH	cyoh
2330	gjuH	gyoh
2331	hjuH	yoh
2332	dzjuH	zyoh
2333	srjuH	sryoh
2334	pjuH	pyoh
2335	tshjuH	chyoh
2336	trjuH	tryoh
2337	khjuH	khyoh
2338	tsrhjuH	chryoh
2339	trhjuH	thryoh
2340	sjuH	syoh
2341	ljuH	lyoh
2342	muH	moh
2343	duH	doh
2344	luH	loh
2345	tuH	toh
2346	thuH	thoh
2347	kuH	koh
2348	nguH	ngoh
2349	huH	ghoh
2350	suH	soh
2351	dzuH	zoh
2352	nuH	noh
2353	puH	poh
2354	'uH	qoh
2355	phuH	phoh
2356	tshuH	choh
2357	khuH	khoh
2358	buH	boh
2359	xuH	hoh
2360	tsuH	coh
2361	tsejH	ceh
2362	tejH	teh
2363	dzejH	zeh
2364	thejH	theh
2365	dejH	deh
2366	tshejH	cheh
2367	sejH	seh
2368	ngejH	ngeh
2369	kejH	keh
2370	hejH	gheh
2371	khejH	kheh
2372	'ejH	qeh
2373	mejH	meh
2374	pejH	peh
2375	hwejH	ghueh
2376	kwejH	kueh
2377	xwejH	hueh
2378	phejH	pheh
2379	bejH	beh
2380	lejH	leh
2381	trhejH	threh
2382	nejH	neh
2383	xejH	heh
2384	tsjejH	cied
2385	sjwejH	syed
2386	hjwejH	yed
2387	nywejH	njyed
2388	tsywejH	cjyed
2389	srjwejH	sryed
2390	tshjwejH	chyed
2391	ywejH	jyed
2392	trjwejH	tryed
2393	sywejH	sjyed
2394	bjiejH	bjed
2395	tsrhjwejH	chryed
2396	zjwejH	zsyed
2397	pjiejH	pjed
2398	kjwejH	kyed
2399	mjiejH	mjed
2400	srjejH	sried
2401	tsyhejH	chjed
2402	tsyejH	cjed
2403	dzyejH	zjed
2404	yejH	jed
2405	'jejH	qied
2406	ngjiejH	ngjed
2407	drjejH	dried
2408	ljejH	lied
2409	khjejH	khied
2410	syejH	sjed
2411	kjejH	kied
2412	trjejH	tried
2413	gjejH	gied
2414	dzywejH	zjyed
2415	trhjejH	thried
2416	drjwejH	dryed
2417	ngjejH	ngied
2418	tsjwejH	cyed
2419	phjiejH	phjed
2420	khjwojH	khyad
2421	xjwojH	hyad
2422	thajH	thad
2423	kajH	kad
2424	ngajH	ngad
2425	'ajH	qad
2426	najH	nad
2427	dajH	dad
2428	hajH	ghad
2429	tajH	tad
2430	pajH	pad
2431	phajH	phad
2432	hwajH	ghuad
2433	dwajH	duad
2434	kwajH	kuad
2435	tswajH	cuad
2436	xwajH	huad
2437	khwajH	khuad
2438	lwajH	luad
2439	ngwajH	nguad
2440	twajH	tuad
2441	'wajH	quad
2442	dzwajH	zuad
2443	swajH	suad
2444	tshwajH	chuad
2445	bajH	bad
2446	khajH	khad
2447	tshajH	chad
2448	lajH	lad
2449	xajH	had
2450	thwajH	thuad
2451	majH	mad
2452	tshwajH	chuad
2453	kweaH	krueh
2454	keaH	kreh
2455	'eaH	qreh
2456	heaH	ghreh
2457	meaH	mreh
2458	hweaH	ghrueh
2459	tsrheaH	chreh
2460	ngeaH	ngreh
2461	xeaH	hreh
